#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
C (CH)|  1| | 5.53| 0.10| 0.15| 0.25| 0.19| 0.19|CD-24 1782
N (NH)|  1|<| 4.40|-0.43|     |     |     |     |CD-24 1782
O I   |  3|<| 6.47| 0.83|     |     |     |     |CD-24 1782
Mg I  |  8| | 5.08| 0.53| 0.06| 0.15| 0.09| 0.18|CD-24 1782
Al I  |  1| | 2.67|-0.73| 0.09| 0.29| 0.23| 0.29|CD-24 1782
K I   |  1| | 2.47| 0.49| 0.13| 0.18| 0.14| 0.21|CD-24 1782
Ca I  | 11| | 3.79| 0.49| 0.11| 0.17| 0.12| 0.20|CD-24 1782
Sc II |  9| | 0.14| 0.01| 0.07| 0.15| 0.17| 0.10|CD-24 1782
Ti I  | 16| | 2.16| 0.25| 0.06| 0.14| 0.09| 0.18|CD-24 1782
Ti II | 28| | 2.19| 0.25| 0.06| 0.15| 0.17| 0.10|CD-24 1782
V I   |  1| | 0.82|-0.06| 0.12| 0.18| 0.14| 0.21|CD-24 1782
V II  |  1| | 1.04| 0.13| 0.20| 0.24| 0.26| 0.21|CD-24 1782
Cr I  | 12| | 2.45|-0.15| 0.07| 0.15| 0.09| 0.18|CD-24 1782
Cr II |  3| | 2.83| 0.21| 0.10| 0.17| 0.19| 0.12|CD-24 1782
Mn I  |  6| | 2.00|-0.39| 0.08| 0.16| 0.10| 0.19|CD-24 1782
Mn II |  5| | 1.95|-0.47| 0.15| 0.21| 0.23| 0.17|CD-24 1782
Co I  |  9| | 1.92|-0.03| 0.14| 0.22| 0.17| 0.24|CD-24 1782
Ni I  | 11| | 3.34| 0.17| 0.13| 0.20| 0.16| 0.22|CD-24 1782
Zn I  |  3| | 1.83| 0.32| 0.11| 0.17| 0.13| 0.20|CD-24 1782
Rb I  |  1|<| 1.66| 2.19|     |     |     |     |CD-24 1782
Sr II |  2| |-0.30|-0.15| 0.04| 0.25| 0.25| 0.25|CD-24 1782
Y II  |  3| |-1.35|-0.55| 0.13| 0.19| 0.21| 0.14|CD-24 1782
Zr II |  3| |-0.46|-0.02| 0.11| 0.17| 0.20| 0.13|CD-24 1782
Nb II |  1|<| 0.32| 1.88|     |     |     |     |CD-24 1782
Mo I  |  1|<|-0.42| 0.75|     |     |     |     |CD-24 1782
Tc I  |  1|<| 0.13|     |     |     |     |     |CD-24 1782
Sn I  |  1|<| 1.06| 2.04|     |     |     |     |CD-24 1782
Ba II |  3| |-1.75|-0.91| 0.07| 0.16| 0.18| 0.10|CD-24 1782
La II |  3|<|-2.22|-0.30|     |     |     |     |CD-24 1782
Ce II |  5|<|-1.47|-0.03|     |     |     |     |CD-24 1782
Nd II |  5|<|-1.69|-0.09|     |     |     |     |CD-24 1782
Sm II |  2|<|-1.52| 0.54|     |     |     |     |CD-24 1782
Eu II |  1| |-2.74|-0.24| 0.35| 0.38| 0.39| 0.36|CD-24 1782
Gd II |  2|<|-1.07| 0.88|     |     |     |     |CD-24 1782
Tb II |  3|<|-1.89| 0.83|     |     |     |     |CD-24 1782
Dy II |  2|<|-1.83| 0.09|     |     |     |     |CD-24 1782
Er II |  2|<|-1.68| 0.42|     |     |     |     |CD-24 1782
Tm II |  2|<|-2.11| 0.81|     |     |     |     |CD-24 1782
Yb II |  1| |-2.84|-0.74| 0.34| 0.37| 0.38| 0.35|CD-24 1782
Hf II |  2|<|-0.96| 1.21|     |     |     |     |CD-24 1782
Pb I  |  1|<| 0.78| 1.79|     |     |     |     |CD-24 1782
Fe I  | 87| | 5.33|-2.17| 0.06| 0.21| 0.00| 0.00|G004-036
Fe II | 10| | 5.28|-2.22| 0.07| 0.14| 0.00| 0.00|G004-036
Li I  |  1| | 1.98|     | 0.06| 0.20| 0.09| 0.20|G004-036
C (CH)|  1| | 6.52| 0.30| 0.15| 0.25| 0.19| 0.19|G004-036
N (CN)|  1|<| 7.45| 1.83|     |     |     |     |G004-036
O I   |  1| | 6.69| 0.17| 0.07| 0.20| 0.10| 0.21|G004-036
Mg I  |  7| | 5.32|-0.12| 0.07| 0.23| 0.10| 0.21|G004-036
Al I  |  1| | 2.86|-1.42| 0.09| 0.29| 0.18| 0.27|G004-036
Ca I  | 10| | 3.98|-0.19| 0.11| 0.22| 0.13| 0.22|G004-036
Sc II |  3| | 0.05|-0.88| 0.10| 0.16| 0.22| 0.12|G004-036
Ti I  | 15| | 3.28| 0.49| 0.07| 0.20| 0.09| 0.21|G004-036
Ti II | 19| | 3.32| 0.59| 0.05| 0.14| 0.20| 0.09|G004-036
V I   |  1| | 1.93| 0.17| 0.11| 0.22| 0.13| 0.22|G004-036
V II  |  2| | 2.05| 0.34| 0.20| 0.24| 0.28| 0.21|G004-036
Cr I  |  9| | 3.78| 0.31| 0.05| 0.20| 0.08| 0.20|G004-036
Cr II |  3| | 4.06| 0.64| 0.06| 0.14| 0.21| 0.09|G004-036
Mn I  |  8| | 3.72| 0.45| 0.05| 0.22| 0.09| 0.21|G004-036
Co I  |  2| | 2.55|-0.27| 0.12| 0.23| 0.13| 0.23|G004-036
Ni I  |  8| | 4.62| 0.57| 0.11| 0.22| 0.13| 0.23|G004-036
Cu I  |  1|<| 1.98|-0.04|     |     |     |     |G004-036
Zn I  |  3| | 3.52| 1.13| 0.04| 0.20| 0.08| 0.20|G004-036
Sr II |  2| |-0.68|-1.32| 0.05| 0.15| 0.20| 0.11|G004-036
Y II  |  1| |-1.31|-1.30| 0.34| 0.36| 0.39| 0.35|G004-036
Mo I  |  1|<| 0.93| 1.22|     |     |     |     |G004-036
Tc I  |  1|<| 1.10|     |     |     |     |     |G004-036
Sn I  |  1|<| 2.03| 2.13|     |     |     |     |G004-036
Ba II |  1| |-1.06|-1.02| 0.05| 0.14| 0.20| 0.09|G004-036
Ce II |  4|<|-0.40| 0.24|     |     |     |     |G004-036
Pr II |  1|<|-0.15| 1.35|     |     |     |     |G004-036
Sm II |  2|<|-0.33| 0.93|     |     |     |     |G004-036
Eu II |  1|<|-1.32| 0.38|     |     |     |     |G004-036
Gd II |  2|<| 0.15| 1.30|     |     |     |     |G004-036
Tb II |  3|<|-0.67| 1.25|     |     |     |     |G004-036
Dy II |  1|<|-0.78| 0.34|     |     |     |     |G004-036
Er II |  3|<|-0.35| 0.95|     |     |     |     |G004-036
Tm II |  2|<|-1.03| 1.09|     |     |     |     |G004-036
Yb II |  1|<|-1.60|-0.30|     |     |     |     |G004-036
Hf II |  2|<| 0.19| 1.56|     |     |     |     |G004-036
Ir I  |  1|<| 1.31| 2.10|     |     |     |     |G004-036
Pb I  |  1|<| 1.45| 1.58|     |     |     |     |G004-036
Fe I  | 92| | 4.77|-2.73| 0.08| 0.21| 0.00| 0.00|G004-037
Fe II |  9| | 4.83|-2.67| 0.08| 0.15| 0.00| 0.00|G004-037
Li I  |  1| | 2.11|     | 0.06| 0.20| 0.10| 0.21|G004-037
C (CH)|  1| | 6.19| 0.43| 0.15| 0.25| 0.20| 0.20|G004-037
N (CN)|  1|<| 7.85| 2.69|     |     |     |     |G004-037
O I   |  2| | 6.29| 0.32| 0.09| 0.21| 0.12| 0.22|G004-037
Mg I  |  6| | 5.27| 0.39| 0.06| 0.22| 0.10| 0.22|G004-037
Al I  |  2| | 2.90|-0.82| 0.09| 0.25| 0.16| 0.26|G004-037
Si I  |  1| | 5.26| 0.48| 0.16| 0.36| 0.24| 0.32|G004-037
Ca I  | 12| | 4.08| 0.47| 0.11| 0.22| 0.14| 0.23|G004-037
Sc II |  3| | 0.53| 0.05| 0.07| 0.14| 0.21| 0.11|G004-037
Ti I  |  5| | 2.65| 0.42| 0.08| 0.21| 0.12| 0.22|G004-037
Ti II | 15| | 2.58| 0.29| 0.07| 0.14| 0.21| 0.11|G004-037
Cr I  |  4| | 2.80|-0.11| 0.06| 0.20| 0.10| 0.21|G004-037
Cr II |  1| | 3.20| 0.23| 0.10| 0.16| 0.23| 0.13|G004-037
Mn I  |  4| | 2.32|-0.38| 0.10| 0.22| 0.13| 0.23|G004-037
Co I  |  2| | 2.42| 0.16| 0.13| 0.23| 0.15| 0.24|G004-037
Ni I  |  2| | 3.54| 0.05| 0.13| 0.23| 0.15| 0.24|G004-037
Zn I  |  2| | 2.34| 0.50| 0.13| 0.23| 0.15| 0.24|G004-037
Sr II |  2| | 0.11|-0.09| 0.04| 0.21| 0.24| 0.20|G004-037
Y II  |  1| |-0.81|-0.35| 0.21| 0.24| 0.29| 0.22|G004-037
Zr II |  1| | 0.45| 0.54| 0.17| 0.21| 0.26| 0.19|G004-037
Nb II |  1|<| 1.38| 2.59|     |     |     |     |G004-037
Mo I  |  1|<| 1.05| 1.90|     |     |     |     |G004-037
Tc I  |  1|<| 1.23|     |     |     |     |     |G004-037
Ba II |  1| |-0.99|-0.50| 0.06| 0.14| 0.21| 0.10|G004-037
Ce II |  5|<|-0.04| 1.05|     |     |     |     |G004-037
Nd II |  5|<|-0.37| 0.88|     |     |     |     |G004-037
Sm II |  2|<|-0.24| 1.47|     |     |     |     |G004-037
Eu II |  4|<|-1.34| 0.81|     |     |     |     |G004-037
Gd II |  3|<| 0.14| 1.74|     |     |     |     |G004-037
Tb II |  4|<|-0.43| 1.94|     |     |     |     |G004-037
Dy II |  3|<|-0.47| 1.10|     |     |     |     |G004-037
Ho II |  1|<|-0.62| 1.57|     |     |     |     |G004-037
Er II |  3|<|-0.25| 1.50|     |     |     |     |G004-037
Tm II |  2|<|-0.68| 1.89|     |     |     |     |G004-037
Yb II |  1| |-1.45| 0.30| 0.15| 0.20| 0.25| 0.18|G004-037
Hf II |  2|<| 0.51| 2.33|     |     |     |     |G004-037
Pb I  |  1|<| 1.46| 2.15|     |     |     |     |G004-037
Th II |  2|<|-0.45| 2.16|     |     |     |     |G004-037
Fe I  | 57| | 5.71|-1.79| 0.07| 0.11| 0.00| 0.00|G009-027
Fe II |  5| | 5.69|-1.81| 0.07| 0.13| 0.00| 0.00|G009-027
Li I  |  1| | 1.61|     | 0.07| 0.10| 0.10| 0.14|G009-027
C (CH)|  1| | 6.19|-0.44| 0.15| 0.25| 0.19| 0.19|G009-027
Na I  |  1| | 4.21|-0.24| 0.14| 0.16| 0.16| 0.19|G009-027
Mg I  |  1| | 6.17| 0.36| 0.06| 0.09| 0.09| 0.14|G009-027
Si I  |  1| | 6.23| 0.51| 0.17| 0.18| 0.18| 0.21|G009-027
Ca I  |  8| | 4.94| 0.39| 0.11| 0.17| 0.14| 0.18|G009-027
Sc II |  3| | 1.16|-0.18| 0.08| 0.13| 0.14| 0.12|G009-027
Ti I  |  4| | 3.29| 0.13| 0.06| 0.09| 0.09| 0.14|G009-027
Ti II | 10| | 3.37| 0.23| 0.07| 0.12| 0.12| 0.11|G009-027
V I   |  1| | 1.87|-0.27| 0.13| 0.15| 0.14| 0.18|G009-027
V II  |  2| | 2.39| 0.27| 0.26| 0.28| 0.28| 0.27|G009-027
Cr I  |  9| | 3.77|-0.08| 0.06| 0.10| 0.09| 0.14|G009-027
Cr II |  1| | 4.37| 0.54| 0.07| 0.13| 0.15| 0.10|G009-027
Mn I  |  2| | 3.10|-0.54| 0.07| 0.13| 0.10| 0.16|G009-027
Co I  |  1| | 2.73|-0.47| 0.17| 0.22| 0.19| 0.23|G009-027
Ni I  |  4| | 4.44| 0.01| 0.12| 0.14| 0.14| 0.17|G009-027
Zn I  |  2| | 2.68|-0.09| 0.09| 0.11| 0.11| 0.15|G009-027
Sr II |  1| | 0.84|-0.22| 0.12| 0.13| 0.14| 0.17|G009-027
Y II  |  1| | 0.01|-0.39| 0.11| 0.16| 0.17| 0.14|G009-027
Zr II |  2| | 0.78| 0.01| 0.17| 0.20| 0.21| 0.18|G009-027
Ba II |  3| | 0.12|-0.25| 0.07| 0.11| 0.12| 0.11|G009-027
La II |  2| |-0.56| 0.15| 0.24| 0.27| 0.27| 0.25|G009-027
Nd II |  1|<| 0.23| 0.62|     |     |     |     |G009-027
Eu II |  1| |-1.01| 0.28| 0.08| 0.14| 0.15| 0.10|G009-027
Dy II |  1|<| 0.17| 0.88|     |     |     |     |G009-027
Pb I  |  1|<| 1.42| 1.17|     |     |     |     |G009-027
Fe I  | 57| | 5.21|-2.29| 0.06| 0.11| 0.00| 0.00|G010-054
Fe II |  2| | 5.20|-2.30| 0.08| 0.24| 0.00| 0.00|G010-054
Li I  |  1| | 1.25|     | 0.10| 0.13| 0.12| 0.23|G010-054
C (CH)|  1| | 5.85|-0.28| 0.15| 0.25| 0.19| 0.20|G010-054
Mg I  |  2| | 5.43| 0.13| 0.05| 0.17| 0.12| 0.20|G010-054
Ca I  |  7| | 4.37| 0.32| 0.11| 0.16| 0.13| 0.24|G010-054
Sc II |  1| | 0.92| 0.07| 0.17| 0.28| 0.27| 0.19|G010-054
Ti I  |  5| | 2.86| 0.21| 0.06| 0.10| 0.09| 0.22|G010-054
Ti II |  7| | 2.97| 0.31| 0.07| 0.20| 0.17| 0.14|G010-054
V I   |  1| | 1.50|-0.14| 0.14| 0.16| 0.16| 0.25|G010-054
Cr I  |  7| | 3.26|-0.08| 0.06| 0.10| 0.09| 0.21|G010-054
Mn I  |  2| | 2.41|-0.72| 0.16| 0.24| 0.20| 0.23|G010-054
Co I  |  1| | 2.62|-0.08| 0.17| 0.23| 0.20| 0.26|G010-054
Ni I  |  3| | 3.89|-0.04| 0.16| 0.18| 0.18| 0.26|G010-054
Cu I  |  1|<| 1.68|-0.22|     |     |     |     |G010-054
Zn I  |  2| | 2.42| 0.16| 0.13| 0.15| 0.15| 0.24|G010-054
Sr II |  2| | 0.61| 0.03| 0.11| 0.14| 0.14| 0.25|G010-054
Zr II |  1|<| 1.01| 0.73|     |     |     |     |G010-054
Tc I  |  1|<| 1.48|     |     |     |     |     |G010-054
Ba II |  1| |-0.47|-0.35| 0.06| 0.19| 0.16| 0.18|G010-054
Ce II |  4|<| 0.42| 1.14|     |     |     |     |G010-054
Pr II |  2|<|-0.09| 1.49|     |     |     |     |G010-054
Nd II |  5|<| 0.60| 1.48|     |     |     |     |G010-054
Sm II |  2|<| 0.22| 1.56|     |     |     |     |G010-054
Eu II |  1|<|-0.52| 1.26|     |     |     |     |G010-054
Gd II |  3|<| 0.50| 1.73|     |     |     |     |G010-054
Tb II |  2|<| 0.62| 2.62|     |     |     |     |G010-054
Dy II |  3|<| 0.97| 2.17|     |     |     |     |G010-054
Tm II |  1|<| 1.00| 3.20|     |     |     |     |G010-054
Hf II |  1|<| 1.10| 2.55|     |     |     |     |G010-054
Pb I  |  1|<| 2.20| 2.45|     |     |     |     |G010-054
Fe I  |104| | 4.97|-2.53| 0.06| 0.10| 0.00| 0.00|G015-010
Fe II |  8| | 4.96|-2.54| 0.09| 0.15| 0.00| 0.00|G015-010
Li I  |  1| | 0.60|     | 0.14| 0.16| 0.15| 0.20|G015-010
C (CH)|  1| | 6.09| 0.20| 0.15| 0.25| 0.19| 0.20|G015-010
N (NH)|  1| | 4.63|-0.66| 0.30| 0.36| 0.32| 0.33|G015-010
O I   |  1| | 7.30| 1.14| 0.11| 0.13| 0.13| 0.18|G015-010
Mg I  |  5| | 5.49| 0.42| 0.07| 0.12| 0.09| 0.16|G015-010
Al I  |  1| | 3.47|-0.45| 0.07| 0.22| 0.18| 0.16|G015-010
Ca I  | 10| | 4.18| 0.37| 0.10| 0.14| 0.12| 0.19|G015-010
Sc II |  4| | 0.55|-0.06| 0.08| 0.14| 0.13| 0.14|G015-010
Ti I  | 18| | 2.58| 0.16| 0.06| 0.09| 0.08| 0.15|G015-010
Ti II | 24| | 2.70| 0.29| 0.08| 0.14| 0.14| 0.12|G015-010
V I   |  1| | 1.28|-0.12| 0.11| 0.13| 0.12| 0.18|G015-010
Cr I  | 10| | 3.05|-0.06| 0.05| 0.09| 0.08| 0.15|G015-010
Cr II |  2| | 3.43| 0.33| 0.11| 0.17| 0.17| 0.14|G015-010
Mn I  |  4| | 2.46|-0.44| 0.06| 0.09| 0.08| 0.15|G015-010
Mn II |  3| | 2.52|-0.37| 0.16| 0.20| 0.20| 0.19|G015-010
Co I  |  5| | 2.26|-0.20| 0.13| 0.18| 0.15| 0.21|G015-010
Ni I  | 12| | 3.69| 0.00| 0.14| 0.16| 0.15| 0.20|G015-010
Cu I  |  1|<| 1.13|-0.53|     |     |     |     |G015-010
Zn I  |  2| | 2.21| 0.18| 0.11| 0.13| 0.12| 0.18|G015-010
Rb I  |  1|<| 1.96| 1.97|     |     |     |     |G015-010
Sr II |  2| | 0.17|-0.15| 0.04| 0.09| 0.10| 0.17|G015-010
Y II  |  1| |-0.62|-0.29| 0.11| 0.17| 0.17| 0.14|G015-010
Zr II |  3| | 0.17| 0.13| 0.08| 0.15| 0.16| 0.12|G015-010
Nb II |  1|<| 0.98| 2.06|     |     |     |     |G015-010
Mo I  |  1| |-0.10| 0.55| 0.26| 0.27| 0.27| 0.30|G015-010
Tc I  |  1|<| 0.55|     |     |     |     |     |G015-010
Sn I  |  1|<| 1.19| 1.65|     |     |     |     |G015-010
Ba II |  2| |-0.76|-0.40| 0.06| 0.12| 0.12| 0.12|G015-010
La II |  1| |-1.34| 0.10| 0.08| 0.15| 0.16| 0.12|G015-010
Ce II |  5|<|-0.50| 0.46|     |     |     |     |G015-010
Pr II |  1|<|-0.55| 1.27|     |     |     |     |G015-010
Nd II |  1| |-0.91| 0.21| 0.15| 0.20| 0.20| 0.17|G015-010
Sm II |  2|<|-0.60| 0.98|     |     |     |     |G015-010
Eu II |  2| |-1.69| 0.33| 0.14| 0.19| 0.20| 0.17|G015-010
Gd II |  2|<|-0.35| 1.12|     |     |     |     |G015-010
Tb II |  3|<|-0.95| 1.29|     |     |     |     |G015-010
Dy II |  1| |-0.82| 0.62| 0.14| 0.19| 0.19| 0.16|G015-010
Er II |  3|<|-0.74| 0.88|     |     |     |     |G015-010
Tm II |  2|<|-1.01| 1.43|     |     |     |     |G015-010
Yb II |  1| |-1.33| 0.29| 0.14| 0.19| 0.19| 0.17|G015-010
Hf II |  2|<| 0.15| 1.84|     |     |     |     |G015-010
Ir I  |  1|<| 0.62| 1.77|     |     |     |     |G015-010
Pb I  |  1|<| 0.88| 1.37|     |     |     |     |G015-010
Th II |  2|<|-0.78| 1.70|     |     |     |     |G015-010
Fe I  | 87| | 5.42|-2.08| 0.07| 0.11| 0.00| 0.00|G016-025
Fe II |  7| | 5.43|-2.07| 0.09| 0.16| 0.00| 0.00|G016-025
Li I  |  1|<| 0.76|     |     |     |     |     |G016-025
C (CH)|  1| | 5.99|-0.37| 0.15| 0.25| 0.19| 0.20|G016-025
Mg I  |  4| | 5.65| 0.13| 0.09| 0.13| 0.11| 0.16|G016-025
Al I  |  1| | 3.33|-1.04| 0.12| 0.23| 0.19| 0.18|G016-025
Ca I  |  9| | 4.47| 0.20| 0.11| 0.16| 0.13| 0.19|G016-025
Sc II |  3| | 0.88|-0.20| 0.09| 0.14| 0.14| 0.13|G016-025
Ti I  |  9| | 2.90| 0.02| 0.06| 0.10| 0.09| 0.15|G016-025
Ti II | 10| | 3.01| 0.13| 0.07| 0.14| 0.13| 0.13|G016-025
V I   |  1| | 1.59|-0.26| 0.14| 0.16| 0.16| 0.20|G016-025
Cr I  |  9| | 3.44|-0.12| 0.06| 0.10| 0.09| 0.15|G016-025
Cr II |  1| | 3.99| 0.42| 0.07| 0.15| 0.16| 0.12|G016-025
Mn I  |  5| | 2.96|-0.40| 0.06| 0.11| 0.10| 0.14|G016-025
Ni I  |  5| | 4.19| 0.04| 0.13| 0.14| 0.14| 0.19|G016-025
Zn I  |  2| | 2.66| 0.18| 0.08| 0.11| 0.11| 0.16|G016-025
Sr II |  2| | 0.57|-0.23| 0.12| 0.14| 0.15| 0.20|G016-025
Y II  |  2|<|-0.13|-0.27|     |     |     |     |G016-025
Zr II |  1|<| 1.61| 1.10|     |     |     |     |G016-025
Ba II |  1| | 0.14| 0.03| 0.06| 0.13| 0.12| 0.18|G016-025
Ce II |  3|<| 0.51| 1.00|     |     |     |     |G016-025
Pr II |  1|<| 0.19| 1.54|     |     |     |     |G016-025
Nd II |  4|<| 0.28| 0.93|     |     |     |     |G016-025
Sm II |  2|<| 0.08| 1.19|     |     |     |     |G016-025
Eu II |  1|<|-1.15| 0.40|     |     |     |     |G016-025
Gd II |  2|<| 0.30| 1.30|     |     |     |     |G016-025
Tb II |  2|<| 0.34| 2.11|     |     |     |     |G016-025
Dy II |  1|<| 1.16| 2.13|     |     |     |     |G016-025
Tm II |  1|<| 0.63| 2.60|     |     |     |     |G016-025
Hf II |  1|<| 0.96| 2.18|     |     |     |     |G016-025
Pb I  |  1|<| 2.18| 2.22|     |     |     |     |G016-025
Th II |  1|<| 0.57| 2.58|     |     |     |     |G016-025
Fe I  | 77| | 5.17|-2.33| 0.07| 0.10| 0.00| 0.00|G025-022
Fe II |  8| | 5.17|-2.33| 0.09| 0.14| 0.00| 0.00|G025-022
Li I  |  1| | 1.59|     | 0.07| 0.10| 0.10| 0.15|G025-022
C (CH)|  1| | 5.85|-0.25| 0.15| 0.25| 0.21| 0.23|G025-022
Mg I  |  4| | 5.62| 0.36| 0.10| 0.15| 0.13| 0.17|G025-022
Ca I  | 11| | 4.38| 0.38| 0.11| 0.15| 0.14| 0.18|G025-022
Sc II |  3| | 0.69|-0.13| 0.09| 0.13| 0.14| 0.14|G025-022
Ti I  |  7| | 2.82| 0.20| 0.07| 0.10| 0.10| 0.15|G025-022
Ti II | 13| | 2.94| 0.32| 0.09| 0.13| 0.14| 0.13|G025-022
V I   |  1| | 1.51|-0.09| 0.17| 0.18| 0.18| 0.21|G025-022
Cr I  | 10| | 3.22|-0.08| 0.07| 0.10| 0.10| 0.15|G025-022
Mn I  |  6| | 2.66|-0.43| 0.10| 0.13| 0.12| 0.16|G025-022
Co I  |  1| | 2.61|-0.05| 0.17| 0.21| 0.20| 0.24|G025-022
Ni I  |  4| | 4.03| 0.15| 0.14| 0.16| 0.15| 0.19|G025-022
Zn I  |  2| | 2.31| 0.08| 0.13| 0.15| 0.15| 0.19|G025-022
Sr II |  2| | 0.54| 0.00| 0.12| 0.15| 0.16| 0.20|G025-022
Y II  |  3|<|-0.48|-0.36|     |     |     |     |G025-022
Zr II |  1|<| 0.87| 0.62|     |     |     |     |G025-022
Ba II |  2| |-0.44|-0.30| 0.07| 0.12| 0.13| 0.13|G025-022
La II |  2|<|-0.58| 0.65|     |     |     |     |G025-022
Ce II |  4|<| 0.11| 0.86|     |     |     |     |G025-022
Pr II |  3|<|-0.29| 1.32|     |     |     |     |G025-022
Nd II |  4|<| 0.11| 1.02|     |     |     |     |G025-022
Sm II |  2|<|-0.13| 1.24|     |     |     |     |G025-022
Eu II |  1|<|-1.12| 0.69|     |     |     |     |G025-022
Gd II |  3|<| 0.45| 1.71|     |     |     |     |G025-022
Tb II |  2|<| 0.19| 2.22|     |     |     |     |G025-022
Dy II |  2|<| 0.09| 1.32|     |     |     |     |G025-022
Tm II |  1|<| 0.80| 3.03|     |     |     |     |G025-022
Hf II |  1|<| 0.70| 2.18|     |     |     |     |G025-022
Pb I  |  1|<| 1.46| 1.75|     |     |     |     |G025-022
Fe I  | 91| | 5.39|-2.11| 0.08| 0.21| 0.00| 0.00|G025-024
Fe II |  7| | 5.22|-2.28| 0.08| 0.15| 0.00| 0.00|G025-024
Li I  |  1| | 2.09|     | 0.06| 0.20| 0.10| 0.21|G025-024
C (CH)|  1| | 6.40| 0.26| 0.15| 0.25| 0.20| 0.20|G025-024
O I   |  3|<| 6.73| 0.15|     |     |     |     |G025-024
Mg I  |  4| | 5.74| 0.25| 0.10| 0.25| 0.14| 0.24|G025-024
Al I  |  1| | 3.28|-1.06| 0.18| 0.37| 0.26| 0.33|G025-024
Si I  |  1| | 5.79| 0.39| 0.22| 0.29| 0.23| 0.30|G025-024
K I   |  1| | 2.99| 0.07| 0.13| 0.23| 0.16| 0.24|G025-024
Ca I  | 11| | 4.50| 0.27| 0.11| 0.23| 0.14| 0.24|G025-024
Sc II |  3| | 0.69|-0.18| 0.09| 0.15| 0.22| 0.12|G025-024
Ti I  |  6| | 2.96| 0.12| 0.08| 0.20| 0.11| 0.21|G025-024
Ti II |  9| | 2.80| 0.13| 0.07| 0.15| 0.21| 0.12|G025-024
V I   |  1| | 1.63|-0.19| 0.19| 0.27| 0.21| 0.28|G025-024
Cr I  |  5| | 3.39|-0.14| 0.06| 0.20| 0.10| 0.21|G025-024
Cr II |  1| | 3.65| 0.29| 0.09| 0.16| 0.22| 0.13|G025-024
Mn I  |  5| | 2.97|-0.35| 0.08| 0.23| 0.12| 0.22|G025-024
Co I  |  1| | 2.59|-0.29| 0.17| 0.26| 0.19| 0.27|G025-024
Ni I  |  3| | 4.04|-0.07| 0.13| 0.23| 0.15| 0.24|G025-024
Zn I  |  2| | 2.34|-0.11| 0.13| 0.23| 0.16| 0.24|G025-024
Rb I  |  1|<| 2.61| 2.20|     |     |     |     |G025-024
Sr II |  1| | 0.62| 0.03| 0.13| 0.23| 0.23| 0.25|G025-024
Tc I  |  1|<| 1.42|     |     |     |     |     |G025-024
